Entry,Word class,Etymology,Definition
daud,v.,Imitative of a dull thudding sound.,"To strike with a heavy blow or thump; to knock, beat; to shake by knocking or beating."
der,int.,Imitative of a sound expressing inarticulacy or incomprehension.,"Implying that another person has said something foolish or extremely obvious, or done something stupid."
dickcissel,n.,Imitative of the bird’s cry.,"The black-throated bunting or little meadowlark, Spiza americana, of North America."
diddle,v.,"Apparently onomatopoeic, representing the effect of singing, without uttering connected words.",To sing without distinct utterance of words.
didgeridoo,n.,Imitative.,"A musical instrument of the Australian Aborigines, consisting of a long tube made from bamboo or a hollow sapling which is blown into to produce a resonant sound."
diederik/diedrik,n.,Imitative.,"A small African cuckoo, Chrysococcyx caprius."
ding,v.,Echoic.,To sound as metal when heavily struck; to make a heavy ringing sound.
ding-a-ling,n.,Echoic.,"An imitation of the ringing sound of a heavy bell, or of metal when struck."
ding-dong,v.,Echoic.,"To ring as a bell, or like a bell."
ding-dong,"n., adv., adj.",Echoic.,An imitation of the sound of a bell.
dink,n.,Imitative.,A drop-shot in lawn tennis.
dit,n.,Imitative.,"In Morse telegraphy, etc.: = dot."
dod,v.,Imitative of a dull thudding sound.,"To beat, knock."
dong,n.,Echoic.,An imitation of the deep sound of a large bell.
dong,v.,Echoic; expressing a sound of deeper tone than ding.,To sound as a large bell.
doof,"int., n.",Imitative of the sound of a dull blow or thud.,"Imitating the sound of a dull blow, thud, or drumbeat."
doo-wop,n.,Imitative.,"A variety of (orig. American) vocal group music, usually performed acapella or with little instrumental accompaniment, so called from the use of nonsense phrases accompanying the vocal lead."
drant/draunt,v.,"Apparently onomatopoeic, after drawl or drone and rant.",To drawl or drone in speech.
dub,n.,"Mainly onomatopoeic (compare dub-a-dub, rub-a-dub); but having connections with dub.",A beat of a drum; the sound of a drum when beaten.
dub,v.,"Known only since 1500: evidently onomatopoeic, imitating the sound, or suggesting the feeling of a firm blow or thrust with something blunt.",To thrust: now implying a moderately firm blunt thrust or poke.
dub-a-dub,n.,Echoic.,The sound made in beating a drum.
duff,"int., n.",Imitative of a dull blow.,"Representing the sound of a dull blow, thud, or drumbeat."
duh,int.,Imitative.,Expressing inarticulacy or incomprehension. Also (usually mildly derogatory): implying that another person has said something foolish or extremely obvious.
dunkadoo,n.,Echoic: from the bird’s cry.,Popular name in New England of the American bittern (Botaurus mugitans).
eek,int.,Imitative of a shriek or squeak.,"Expressing (frequently mock) astonishment, alarm, horror, or surprise."
er,int.,Imitative.,Used to express the inarticulate sound or murmur made by a hesitant speaker.
ew,int.,An imitative or expressive formation.,"Used as an emphatic expression, chiefly of disgust, but also (formerly) of surprise or approval."
faffle,v.,Of echoic origin.,To stutter or stammer; to utter incoherent sounds.
fap fap fap,int.,An imitative or expressive formation.,Representing the sound of (esp. male) masturbation.
fiff,v.,Echoic.,An imitative or expressive formation.
fillip,n.,Apparently onomatopoeic.,"A movement made by bending the last joint of a finger against the thumb and suddenly releasing it (so as to propel some small object, or merely as a gesture); a smart stroke or tap given by this means."
filly-folly,n.,One of the onomatopoeic reduplications with vowel variation expressing the notion of something trivial.,A foolish or ridiculous notion; a foolish hobby.
fissle/fistle,v.,Echoic.,To make a slight continued noise; to rustle; to move with such a noise.
fix-fax,n.,Onomatopoeic.,"Hurry, the middle of any business’ (Jamieson)."
fiz/fizz,v.,Echoic.,To make a hissing or sputtering sound.
flab,v.,Onomatopoeic.,To flap (the wings).
flabby,adj.,An onomatopoeic modification of the earlier flappy; the voiced ending in flab- as compared with flap- gives to the syllable a feebler effect suited to the meaning.,"Hanging loose by its own weight, yielding to the touch and easily moved or shaken, flaccid, limp, soft; said chiefly of or with respect to flesh."
flack,n.,Echoic.,"A blow, slap, or stroke."
flaff,v.,Onomatopoeic.,"To flap, make a flapping; to flutter."
flam,n.,Probably echoic.,"The Flam is a beat made by the two sticks striking almost at the same instant on the head, but so as to be heard separately."
flank,v.,Onomatopoeic.,"To whip with a light, sudden stroke, to flick; also, to crack (a whip)."
flap,v.,Probably of onomatopoeic origin.,To strike with a sudden blow.
flash,n.,Of onomatopoeic origin.,"A pool, a marshy place."
flash,v.,Apparently of onomatopoeic origin.,Expressing movement of a liquid.
flasker,v.,Onomatopoeic.,To flap about (as a fish); to flutter (as a bird); to flounder.
flatter,v.,Onomatopoeic.,"To float, flutter."
fleg,n.,Onomatopoeic.,"A random blow or kick, a stroke."
flerk,v.,Onomatopoeic.,To make a jerking movement.
flibbertigibbet,n.,Apparently an onomatopoeic representation of unmeaning chatter.,A chattering or gossiping person; a flighty or frivolous woman.
flick,n.,Echoic.,"A light blow, esp. one given with something pliant, a whip, etc., or with the finger-nail."
flicker,n.,Said to be echoic of the bird’s note.,The popular name of various American species of woodpecker.
flim-flam,"n., adj.","One of the many onomatopoeic reduplications with vowel variation expressive of contempt; compare fidfad, skimble-skamble, whimwham.","A piece of nonsense or idle talk; a trifle, a conceit."
flimmer,v.,Onomatopoeic.,To burn unsteadily; to flicker.
