,a,b,d,e,f,h,i,j,k,l,m,n,o,p,s,t,u,v,w,z,æ,ð,ŋ,ɑ,ɔ,ə,ɛ,ɡ,ɪ,ɹ,ʃ,ʊ,ʌ,θ
complex,0.029509256407618523,0.032142570602797696,0.029323964612558484,0.027288829774728844,0.02968457550741732,0.02458196886194249,0.02863220278173685,0.029127616190204497,0.0292810298841108,0.03001931122434075,0.026394530450208828,0.0313263364857243,0.02571662701666355,0.029828234824041525,0.028380081920725542,0.032248830609023574,0.023028254723892763,0.03462795168161392,0.024730736162604357,0.02704820471505324,0.029629188681057857,,0.03411177568137646,0.031439100173028076,0.029967591787377994,0.03290149024264379,0.02961992161969344,0.030084968270624384,0.03171497707565626,0.029763065208241624,0.027841476625517794,0.028233878314495087,0.03128113863723619,0.030810542404651642
abrupt,0.1664485793847304,0.20923320271196913,0.22283899762800763,0.20214704163372516,0.18078410411171153,0.16569854026394232,0.16728119778574682,0.15559222782030702,0.200466320716909,0.22057618331442128,0.16260679206758175,0.21883723595920873,0.15505808256566525,0.17720978015235492,0.2053561907033531,0.22072629757384035,0.13003850002319384,0.05740812048316002,0.15360899414867163,0.17816854268312454,0.18468955166022713,,0.2403318265080452,0.20596552771680496,0.1787634995765984,0.28197889238595963,0.20446388710003632,0.1870284855365753,0.23001111193200735,0.2376026691759334,0.17023274656839488,0.20630092769861222,0.1975827285999893,0.20229944959282875
continuous,0.025288375793024898,0.02679801014985176,0.02804267915109029,0.024510934948921204,0.026438446463765326,0.022117505574391946,0.021713093124950924,0.02474427968263626,0.024905483587644994,0.0266782583296299,0.023376267510078225,0.028369877427335707,0.0313773908253227,0.026195134679299025,0.024686586832241068,0.02822318342181721,0.01931971015541681,0.02715131314471364,0.022761722548554342,0.021520845033228396,0.026033745475989932,0.026966609060764313,0.03388498735924562,0.026738242918832436,0.026223092922009528,0.029641284843656555,0.03610182041302323,0.026998053686932113,0.025719556189550644,0.026663695426227953,0.022237773851624558,,0.026426035122802623,0.028416668064892292
exciting,0.1544185673648661,0.1926531222497308,0.22304015062950752,0.1989859901368618,0.17951659307823525,0.16171031097571056,0.15279956433480069,0.14931799874951443,0.18395861495991012,0.20510692561772417,0.12821993247295418,0.21038294196701968,0.16131866253588512,0.17141828357756556,0.1956780273635108,0.22473409665110228,0.1258170595575197,0.17702154722064734,0.1527689512762608,0.13823576000603763,0.1714515318704206,,0.22189313271328023,0.19399978800823814,0.17354090960527008,0.2579927658766843,0.19606442952697928,0.20557980868034065,0.21256116323901297,0.2127273292895758,0.1626708490980996,0.21220847591757774,0.22229806662991988,0.20844374100367227
calming,0.07746169840296109,0.07885287160223181,0.08135802241472098,0.047495026141405106,0.07679953697052869,0.06719890236854553,0.06391775167801163,0.06880883553198405,0.0751642875728153,0.08137843356682704,0.07254321527268205,0.07919806082333837,0.10877324640750885,0.08002691618774248,0.07125318626111204,0.07165748726290005,0.05618306474858209,,0.06812258204445243,0.053698278963565826,0.07647288218140602,0.0816865935921669,0.10087691460336957,0.07302148210314605,0.07427826585868995,0.08594422787427902,0.09917908906936646,0.0774056992183129,0.08197777945062389,0.0808581078890711,0.06863760901615024,,0.07713649169142757,0.08609317615628242
hard,0.07110161483287811,0.11385197453200817,0.12031760045460292,0.13684978491316238,0.09304052963852882,0.11555409032319273,0.0897183072721136,0.07353175558694978,0.10392979433453536,0.1132425118899234,0.07672202532344005,0.11349676534229396,0.07188315689563751,0.09973528779582265,0.10765011010296417,0.12272388860583305,0.06876965733649938,0.07030687977870305,0.07384499121548199,0.07890535704791546,0.09715693665837699,,0.1251267642803388,0.10868239441475311,0.09585463280152333,0.1518370062451471,0.10149484574794769,0.11017545413873765,0.11837079198587508,0.11877769139568203,0.08618296026859594,0.12479897867888212,0.12255366871209994,0.10353152034804225
soft,0.041053517659505205,0.04224608055400578,0.04096813889389688,0.03565250688956843,0.04089321774009564,0.03173951019087563,0.0314101530238986,0.03489704706288617,0.038728510094289154,0.04281375495096048,0.03708854511093635,0.04255500299235185,0.04561399947851896,0.03981662249235913,0.039889875935708606,0.03990068296291705,0.029342287772540318,0.04727216809988022,0.03506540265780958,0.03482687876870235,0.04126188480718569,0.04433443769812584,0.04942264705896378,0.039168300152551835,0.036548396572470665,0.04581788816820767,0.04269220307469368,0.04008728633257183,0.04100800577075558,0.04250415799117858,0.03707696211834748,,0.04141858808788253,0.047254253178834915
happy,0.06804514676332474,0.09449033682736066,0.12533483933657408,,0.08533279970288277,0.08435963599809579,0.05945432116277516,0.05643122850192918,0.09375153047343095,0.11427058618781823,0.06285257916897535,0.10693671256303787,0.0974474810063839,0.10494816934482919,0.08920262629787128,0.10115475049958779,0.06450652369213375,,0.08179942836674552,0.025447485968470573,0.10359062866440841,,0.1236926659476012,0.0978933108272031,0.1159508884884417,0.1281312880665064,,0.09565215443189327,0.11632386476008429,0.12191419979851496,0.07583341654390097,,0.08311117824632674,
sad,0.023650523068176374,0.029479542962060526,0.03407491836696863,0.021717460080981254,0.02682218844579025,0.035321102011948824,0.020545624063483307,0.02287731526626481,0.02785655025246681,0.02981649897992611,0.027787816296848986,0.03290466136402554,0.02573126181960106,0.025618586608249207,0.03063181591912722,0.03089495226740837,0.01853128249446551,,0.024545400869101286,0.019657185301184654,0.027476383308912146,0.03312692791223526,0.03456016983836889,0.027375687885543575,0.029512621578760445,0.033245508285129774,0.032525204949908786,0.029254151064725148,0.03146554432099774,0.030495463341877267,0.029153163810925826,0.02969423308968544,0.032679082515339054,0.04136629030108452
harsh,0.14775119655366456,0.2073286748668061,0.22223934651382507,0.20756653603166342,0.18462191160135674,0.18346868107716244,0.16982851266537025,0.158373372318844,0.1929583998950752,0.21334075697121166,0.17527601788652705,0.2208186765596018,0.16075252167259654,0.17640157731910866,0.20496322158898148,0.23323921015686241,0.14113837977250418,0.1810153778642416,0.15079342456800596,0.1538930000627742,0.1895353655138659,,0.23093487033920904,0.20317952664092528,0.18233322966843843,0.2735391085686749,0.21317239990457892,0.21005905652418733,0.20642572218208638,0.2255657169660297,0.1732809874554013,0.2015606090426445,0.22150143484274545,0.2248321371152997
