,a,b,d,e,f,i,j,k,l,m,n,o,p,s,t,u,v,w,z,ŋ,ɔ,ə,ɛ,ɡ,ɥ,ɲ,ʀ,ʃ,ʒ
masculine,0.23930075360669031,0.2357284595792213,0.31171739771962165,0.2795279522736867,0.16260063066852815,0.23505086500970823,0.21053276259614073,0.22814009878177033,0.2309786516394633,0.2346932822996277,0.26469088247732114,0.14949602144770324,0.23048185877269134,0.2241823824122548,0.25733067918918096,0.17938372633747152,0.17087416526149302,0.171417281547418,0.17463217578504397,0.13644138723611832,0.2585190157406032,0.2587321837400568,0.2436354405113629,0.2956762941497745,0.16235156108935675,0.06412947177886963,0.2347741003326151,0.2468853948059781,
mellow,0.08850486495251221,0.10316348191037888,0.1124014106352587,0.08788057987888655,0.08315490755194332,0.07925461721716899,0.08781011588871479,0.088106465632102,0.10003541260957718,0.08735835317660261,0.10831120947287196,0.07180011758787765,0.08901887520941722,0.08032436469143414,0.08257041801900968,0.07888227706037772,0.08385826664608578,0.0694243171336976,0.0842499404742911,0.10893851704895496,0.10038813371002005,0.12271086955743452,0.10476707053535125,0.1195805133598992,0.08112970684413556,0.09357065334916115,0.10427006755720128,0.09071078179504281,0.1188775971531868
nonsolid,0.11003017402254045,0.10885168030148461,0.13084290860617748,0.08900696618689431,0.09721521868378716,0.10631381892054886,0.09740392532613543,0.10982762766557758,0.11086965341773411,0.1092509587109089,0.13065979242897952,0.08887408412992955,0.11249883994460105,0.11171688418835402,0.1138983924785701,0.0980614379483771,0.08083434533831235,0.09438659837751677,0.0922481530015507,0.11142689175903797,0.1197475429558963,0.12383212773381053,0.11393874477256428,0.12181427840565898,0.11391776318059248,0.09857341088354588,0.1115363406476064,0.11681230743141735,
ordinary,0.08423475498505133,0.07747582690292643,0.12128236721194274,0.07237573018154272,0.056612610599146254,0.07745750739914475,0.07636216046909491,0.08863075321466224,0.0857037911326557,0.08163083337734793,0.10232760098784469,0.04797799262666592,0.07817934201636785,0.07411457691341639,0.0896737197616502,0.060606282445843575,0.0576408194854509,0.05593367747593025,0.056328151181029774,0.049035286996513605,0.09078427512993974,0.09586258437484503,0.07704552224672892,0.10711561209695825,0.07233343669213355,0.09472410660237074,0.0889640993109959,0.07574254854191695,0.09399839490652084
passive,0.08149243911826297,0.0818227567067442,0.10175416685847773,0.06965432489911715,0.07136786256160121,0.07763321917963113,0.07389672605010371,0.08310594928583928,0.08380300688246886,0.079893808328995,0.09504169624830995,0.06288329256629502,0.08408927134654488,0.08081991077367082,0.08547664336536241,0.06968359939361873,0.06231537790492524,0.06814284293242723,0.06729543949099812,0.0791776031255722,0.08947604572337665,0.09206384642710609,0.08669519249130697,0.09434370838610803,0.08540551764545617,0.08711862284690142,0.08699444081824627,0.08594906890905031,0.07943926751613617
pleasant,0.07601929354764846,0.07569933326348015,0.11326717477864943,0.07703103209761056,0.04846808575636264,0.06924235566247323,0.07959586950257802,0.07814998445330096,0.08074674933744841,0.0763678164071133,0.09620163600063986,0.03888298120153578,0.07518809091518908,0.06976441688724418,0.07695106504834257,0.05211764272302389,0.05397054341596526,0.05208163215938184,0.053748038331312795,0.049971154580513634,0.08174242185285459,0.08576135495501869,0.08705412317067385,0.09648029034215848,0.07368713333878828,0.09843883051403932,0.08086229117226697,0.06439650086547012,0.08896110206842422
realistic,0.16457204998975308,0.15267697639251485,0.23697291032688036,0.13246109932661057,0.11786586263527472,0.15374224954826193,0.15062470810145748,0.17116282370782668,0.1719272114407788,0.1594974000006914,0.19881979359144514,0.09831051827807512,0.15327011029909832,0.15010693503251996,0.1750812596700927,0.12289675853874844,0.11840207970073056,0.11649966638627623,0.11392238710981768,0.10874657705426216,0.17783140165082525,0.19794357237556287,0.1602857172050897,0.20972698598594988,0.14699883952184958,0.19091968750581145,0.18035201419483532,0.15823903719478466,0.18565534055233002
relaxed,0.0909310351125896,0.09333197942634266,0.11443723066591881,0.07627223655581475,0.08097386755229484,0.088527683072003,0.08498518192209303,0.09509856636162664,0.09646307531566847,0.0909952481982307,0.10816566981375217,0.07090808044153231,0.09613649996881661,0.09071320944988145,0.09369353915148593,0.07968511842773296,0.07022065686625104,0.077129560853701,0.07696847929745107,0.09267132356762886,0.09985382898765452,0.10380338504910469,0.09879941766460737,0.10785578891762301,0.09695585955072332,0.09868604457005858,0.09802182752653008,0.0956789988183206,0.09028372168540955
round,0.032162036308064815,0.032931541691401174,0.04080333054770489,0.02658594287931919,0.02716334523477902,0.030798509412604133,0.03083854104625061,0.03351238427419375,0.03310246228865811,0.03228768873437543,0.037687696693908604,0.02511807348303221,0.032908611607161305,0.03033476797748863,0.03321092239205252,0.027684104158297966,0.02585834613459748,0.027822811024573943,0.028067437680186453,0.03214973025023937,0.03734512393746306,0.03672492688882255,0.03372557566035539,0.03773790013865899,0.03344044769899203,0.036923053907230496,0.03466988762331366,0.03167484893954249,0.034233786165714264
rugged,0.21304426535838442,0.20015140667557715,0.2961995534391867,0.18835766842732063,0.14189513146755148,0.19452912362238156,0.19739568387360676,0.22234952258037738,0.21457040524614857,0.20763206433191478,0.26088077630847695,0.1287046012779077,0.1865924288395722,0.1816548782866448,0.22180103343237656,0.15769579937267636,0.15677262345949808,0.15309925155284312,0.13846306207900247,0.12225390039384365,0.2352285358386162,0.25660374350845816,0.20126380305737257,0.27404344339022596,0.18177647456526758,0.2515658428892493,0.2415666415401108,0.19389003895871018,0.24460773169994354
sad,0.026319817596060387,0.02650306414326896,0.039940602061423386,0.02289356291294098,0.020425563429792723,0.02777801762567833,0.028424336994066834,0.030093708866328565,0.034066227148287,0.029889694647863507,0.035831062123179436,0.021964960545301438,0.028713525910126537,0.033311820927668705,0.03559132673862306,0.022974394950205864,,0.02366511900795669,0.030371607281267643,,0.03667374680701055,0.03473805030807853,0.029077896582228795,0.030366547172889113,0.03142599482089281,0.03648875653743744,0.03033647439893215,0.03011728512744109,
safe,0.026498222331467428,0.026687014132345976,0.03133287784558805,0.023936363495886327,0.025004501279065575,0.025484900793957488,0.025588120851251814,0.025851712353566352,0.027548282897393955,0.02601878008406077,0.03358155272901058,0.021931797638535498,0.029777904137455184,0.029140160489335376,0.028875514026731254,0.023230381983463184,0.01888502510264516,0.022161018065894128,0.021415168658280984,0.02148093841969967,0.029003407307235256,0.02951794189654968,0.02663435818006595,0.028357720691455552,0.026531863075337912,0.02523460565134883,0.026494082354104064,0.028904535211622714,
sharp,0.0971386693468232,0.08996014870584958,0.13339148358618086,0.07611214704811572,0.06621012391988187,0.09105644317389261,0.09193753218278289,0.10364450371698185,0.1011136202186634,0.09613054705278895,0.1178177882518087,0.05562267592176795,0.09186089534667276,0.08875446667733752,0.10559878493414114,0.07052203399178229,0.06930778166928957,0.06558739555378755,0.0652692665320796,0.060790999326854944,0.10308805605506195,0.10834997117279037,0.0936958387028426,0.12182511842288708,0.08803332675821506,0.11423505586571991,0.1026181180574251,0.0970167429737186,0.11567080765962601
simple,0.07736171874541099,0.07241735188651455,0.11054987644122259,0.06100814503928025,0.05250914770294912,0.0719564878749986,0.0730152475880459,0.08172085604239857,0.08052778424961227,0.07638002206665387,0.09343855853446505,0.044406757741752595,0.07289154325882273,0.07030206246593271,0.08315393369486357,0.05546277912616418,0.0544217016634553,0.052185882006056054,0.05236682020178115,0.04636938078328967,0.08433080208226201,0.0884481048692138,0.07347627066294937,0.10016733564247014,0.06827288741866748,0.09258405864238739,0.08309540760110726,0.07414724305272102,0.09186851978302002
slow,0.032815157547593114,0.033513908895353474,0.040092029342693944,0.026827199977229942,0.02868687176753667,0.030590475832036876,0.028093817498302087,0.03299527746587442,0.03361521742772311,0.031175256808992566,0.0382573079092033,0.026141352141680924,0.034010134047968085,0.0328608086994408,0.03412677824699501,0.02817323356656368,0.02437596452399725,0.02775768084185464,0.027750249171780574,0.03279159078374505,0.036693219917223734,0.03640738729154691,0.03383115793649967,0.037062321898636515,0.03284902125597,0.027460338547825813,0.03383015381528976,0.03442804491822864,0.032015446573495865
small,0.03290957482347853,0.03235470462375535,0.038340445661890335,0.03150123562663794,0.027961598066613077,0.030699523834229102,0.02865251188200933,0.03251663811552601,0.03276007710981764,0.030315761212004372,0.037657133948344454,0.02521835146471858,0.033209008446040876,0.0315138696169015,0.034270930579122234,0.028127419676608836,0.024995778460760374,0.02711519433392419,0.02824216610419431,0.028890070971101522,0.03536777674663262,0.03586526829749346,0.03613584736982981,0.03554933692018191,0.03428458557887511,0.02655883226543665,0.033244301163331026,0.034041893724576534,
soft,0.03719867075775967,0.03817054105908141,0.04683140817926162,0.03144672575096289,0.03358157210814671,0.03622162605835391,0.03643810439934122,0.03916886404265895,0.03895152771610369,0.03770811654868777,0.04504151260707437,0.030221053757346593,0.03939498736939397,0.03702445707497108,0.03925633952672305,0.03252492137943153,0.03046295681405206,0.0324184850944827,0.033005223156431236,0.037191062700003386,0.042700167959448934,0.043146336901812785,0.03899898456738276,0.043443794274686746,0.03952459260248221,0.04220280307345092,0.04028992784446676,0.03986439533451552,0.0402337983250618
solid,0.09787487610446988,0.08641664685592765,0.1287475442055796,0.08155537996855047,0.0656968232128868,0.08693931531765825,0.07865262790410607,0.09491846755645764,0.09296262930384126,0.0977351119245092,0.11778263575755633,0.055400803312659265,0.0861691850444509,0.08534597645824155,0.09923515746688974,0.07313460553089132,0.06208699055620142,0.07209383435265133,0.0639748275880852,0.058242736384272575,0.10113458338667426,0.10457868934483142,0.08811630274761807,0.11562757003937185,0.0698680734152303,0.07522947387769818,0.09515718289243816,0.09118003481451203,
strong,0.09548128548960545,0.09218083303277344,0.1356023282278329,0.07644057994087537,0.06826978524622973,0.08743525762548189,0.09144736527620505,0.1002667190239223,0.09895180259349841,0.09647628323775585,0.1167710330337286,0.056258083700581836,0.09038711025933241,0.08648998545551742,0.1017768170843099,0.07068457591169058,0.06968575330494448,0.06574349490971851,0.06613060545075584,0.05996697908267379,0.10370433046807383,0.10925818484087112,0.09165938483441577,0.12569268913297305,0.08092292247769925,0.11351480660960078,0.10381694815750492,0.09346080092733265,0.12018075585365295
