a	AH0
snick-up	S N IH0 K AH0 P
sniff	S N IH0 F
sniffle	S N IH0 F AH0 L
snift	S N IH0 F T
snifter	S N IH0 F T ER0
snigger	S N IH0 G G ER0
sniggle	S N IH0 G AH0 L
snirt	S N ER0 T
snoach	S N OW0 W CH
snob	S N AA0 B
snock	S N AA0 K
snop	S N AA0 P
snore	S N AO0 R
snort	S N AO0 R T
snush	S N AH0 SH
snuttering	S N AH0 T ER0 IH0 NG
sob	S AA0 B
sock	S AA0 K
sosh	S AO0 SH
soss	S AO0 S
souse	S AA0 W S
spank	S P AE0 NG K
spat	S P AE0 T
splack	S P L AE0 K
splatter	S P L AA0 T ER0
splodge	S P L JH
splosh	S P L AO0 SH
sploshy	S P L AA0 SH IY0
splotch	S P L AH0 CH
splunge	S P L AH0 N JH
splurge	S P L ER0 JH
splurt	S P L ER0 T
splutter	S P L AH0 T ER0
spooge	S P UW0 JH
sposh	S P AA0 SH
spraich	S P R IH0 K
sprinkle	S P R IH0 NG K AH0 L
spuffle	S P AH0 F AH0 L
squab	S K W AE0 B
squable	S K W AH0 B AH0 L
squail	S K W EY0 Y L
squall	S K W AO0 L
squark	S K W AA0 R K
squatter	S K W AA0 T ER0
squawk	S K W AO0 K
squeak	S K W IY0 K
squeal	S K W IY0 L
squeck	S K W K
squee	S K IY0
squelch	S K W EH0 L CH
squidge	S K W IH0 JH
squiggle	S K W IH0 G AH0 L
squirk	S K W ER0 K
squirm	S K W ER0 M
squish	S K W IH0 SH
squish-squash	S K W IH0 SH S K W AA0 SH
squit	S K W AH0 T
squizzle	S K W IH0 Z AH0 L
squodgy	S K W AA0 JH IY0
sqush	S K W SH
stramash	S T R AH0 M AE0 SH
strum	S T R AH0 M
suffet	S AH0 F EH0 T
sugh	S AH0
sum	S AH0 M
sumph	S AH0 M F
sussing	S AH0 S IH0 NG
suther	S AH0 DH ER0
swack	S W AO0 K
swap	S W AA0 P
swash	S W AA0 SH
swatter	S W AA0 T ER0
switter	S W IH0 T ER0
sweet	S W IY0 T
swilk	S W IH0 L K
swish	S W IH0 SH
swoosh	S W UW0 SH
tack	T AE0 K
ta-da	T AA0 D AA0
tam-tam	T AE0 M T AE0 M
tang	T AE0 NG
tank	T AE0 NG K
tantara	T AE0 N T AA0 R AH0
tantivy	T AE0 N T AH0 V IY0
tarara	T AE0 R AA0 R AH0
taratantara	T AA0 R AA0 T AH0 N T AA0 R AH0
tat	T AE0 T
tcha	CH AH0
teedle	T IY0 D AH0 L
tee-hee	T IY0 HH IY0
tewit	CH UW0 W IH0 T
thrip	TH R IH0 P
throb	TH R AH0 B
thrum	TH R AH0 M
thrump	TH R AH0 M P
thuck	TH AH0 K
thung	TH AH0 NG
thunge	TH AH0 N JH
thunk	TH AH0 NG K
thutter	TH AH0 T ER0
thwack	TH W AE0 K
tick	T IH0 K
tick-tack	T IH0 K T AE0 K
tick-tick	T IH0 K T IH0 K
tick-tock	T IH0 K T AA0 K
tiffle	T IH0 F AH0 L
tifle	T AA0 Y F AH0 L
ting	T IH0 NG
ting-tang	T IH0 NG T AE0 NG
tink	T IH0 NG K
tirra-lirra	T R AH0 L R AH0
tit	T IH0 T
titter	T IH0 T ER0
tittup	T IH0 T AH0 P
tock	T AA0 K
tong	T AO0 NG
tonk	T AO0 NG K
toodle	T UW0 D AH0 L
tottle	T AA0 T AH0 L
towl	T OW0 W L
trongle	T R AO0 NG G AH0 L
tuff	T AH0 F
tuffle	T AH0 F AH0 L
tuh	T AH0
tum	T AH0 M
tump-tump	T AH0 M P T AH0 M P
tur-turring	T ER0 T ER0 IH0 NG
tu-whit	T UW0 W IH0 T
tu-whoo	T UW0 W HH UW0
twang	T W AA0 NG
twank	T W AA0 NG K
twee	T W IY0
tweedle	T W IY0 D AH0 L
tweek	T W IY0 K
tweet	T W IY0 T
twingle	T W IH0 NG G AH0 L
twink	T W IH0 NG K
twinkle	T W IH0 NG K AH0 L
twirl	T W ER0 L
twitter	T W IH0 T ER0
twizzle	T W IH0 Z AH0 L
ugh	AH0 G
uh	AH0
uh-huh	AH0 HH AH0
uh-uh	AH0 AH0
ululu	Y UW0 L AH0 L UW0
um	AH0 M
umph	AH0 M F
voom	V UW0 M
vroom	V R UW0 M
waff	W AA0 F
wahey	W AE0 HH IY0
wah-wah	W AA0 W AA0
wap	W AA0 P
waul	W AO0 L
wawl	W AA0 L
waw	W AO0
way	W EY0 Y
wee	W IY0
week	W IY0 K
weet	W IY0 T
weet-weet	W IY0 T W IY0 T
wee-wee	W IY0 W IY0
wehee	W AH0 HH IY0
whack	W AE0 K
wham	W AE0 M
whang	W AE0 NG
wharl	W AA0 R L
wheech	W IY0 CH
wheep	W IY0 P
wheeple	W IY0 P AH0 L
wheetle	W IY0 T AH0 L
wherret	W EH0 R AH0 T
whew	W UW0
whewl	W L
whick	W IH0 K
whicker	W IH0 K ER0
whimp	W IH0 M P
whimper	W IH0 M P ER0
whing	W IH0 NG
whinny	W IH0 N IY0
whrinny	W R IH0 N IY0
whish	W IH0 SH
whisp	W IH0 S P
whiss	W IH0 S
whist	W IH0 S T
whit	W IH0 T
whitter	W IH0 T ER0
whizz	W IH0 Z
whomp	AA0 M P
whoofle	W HH UW0 F AH0 L
whoom	W HH UW0 M
whoompf	W HH UW0 M P F
whoosh	W UW0 SH
whorr	AO0 R
whowse	HH AA0 W S
whuff	HH W AH0 F
whump	W AH0 M P
whunk	W AH0 NG K
whurl	W ER0 L
whush	W AH0 SH
whute	W UW0 T
whutter	W AH0 T ER0
widdly	W IH0 D D L IY0
wift	W IH0 F T
wimick	W IH0 M IH0 K
wlite	W L AA0 Y T
woof	W UW0 F
woomph	W UW0 M F
wough	W UH0 F
woul	W UW0 L
wow	W AA0 W
wowl	W AA0 W L
wrag	R AE0 G
wratling	R AE0 T AH0 L IH0 NG
wrawl	R AO0 L
wrele	R IY0 L
wrough	R AA0 W
wuff	W AH0 F
wumph	W AH0 M F
yackety	Y AE0 K AH0 T IY0
yada-yada	Y AA0 D AH0 Y AA0 D AH0
yaff	Y AE0 F
yaffle	Y AE0 F AH0 L
yah	Y AA0
yahoo	Y AA0 HH UW0
yamph	Y AE0 M F
yap	Y AE0 P
yarr	Y AA0 R
yatter	Y AE0 T ER0
yaw-haw	Y AO0 HH AO0
yawp	Y AO0 P
yech	Y EH0 K
yeep	Y IY0 P
yeow	Y IY0 AA0 W
yeuch	Y UW0 CH
yikker	Y IH0 K ER0
yip	Y IH0 P
yo	Y OW0 W
yoax	Y OW0 W K S
yock	Y AA0 K
yoff	Y AO0 F
yoi	Y OW0 Y
yoick	Y OW0 Y K
yoicks	Y OW0 Y K S
yolp	Y OW0 W L P
youf	Y UW0 F
yow	Y AA0 W
yowf	Y AA0 W F
yuck	Y AH0 K
yum	Y AH0 M
zap	Z AE0 P
zhoosh	Z UW0 SH
zing	Z IH0 NG
zingo	Z IH0 NG G OW0 W
zip	Z IH0 P
zizz	Z IH0 Z
zonk	Z AA0 NG K
zoom	Z UW0 M
zoon	Z UW0 N
dub	D AH0 B
hub	HH AH0 B
hy	HH AA0 Y
fap	F AE0 P
py	P AA0 Y
dow	D AA0 W
row	R OW0 W
a	AH0
